age,exp,w
58,34,3300
60,36,3200
62,37,2200
63,39,2300
25,1,1600
64,41,2200
41,16,3000
32,10,3000
35,9,3150
30,4,2400
56,36,1930
53,26,1925
57,31,2450
27,6,2100
31,11,2300
34,11,2200
29,10,2650
27,3,2000
64,43,1100
64,38,2800
51,29,8000
28,8,3250
62,35,5500
49,24,1650
38,12,1240
63,41,2200
63,42,6000
44,23,19000
64,45,6000
34,12,6000
37,16,4000
56,27,1800
60,35,2000
71,51,1800
54,30,14000
39,16,2800
41,20,3500
41,20,2000
43,25,3000
41,22,2600
66,40,1500
22,0,600
26,3,3000
54,33,3600
56,37,2800
59,38,3500
55,26,1921
33,12,3200
59,12,700
37,12,2200
41,9,2200
26,1,1750
31,13,7600
29,7,3000
54,24,2500
58,39,2000
48,21,1600
58,36,4000
29,5,3000
27,1,2200
63,37,6800
48,25,5000
24,1,1030
37,15,3000
60,36,2600
70,45,4500
22,2,2300
51,30,4000
28,5,2700
29,10,3000
34,12,3500
47,22,2000
23,2,2100
35,16,3000
30,8,2600
26,3,2000
44,20,3500
54,31,1700
47,10,1600
39,16,1500
47,21,3500
47,23,2500
43,20,3000
42,17,3000
40,19,3000
48,20,2200
41,9,2200
45,28,4000
59,40,2100
57,31,4900
35,4,1950
32,5,2100
27,3,1950
35,19,4200
22,5,1850
26,3,2100
30,10,2500
28,9,3000
49,8,2100
58,21,2800
45,21,2400
23,2,2500
57,40,3000
37,16,2500
41,23,3200
48,22,4000
35,10,4000
65,45,5500
38,16,8500
38,10,8500
36,1,900
62,42,3500
59,39,2000
57,35,2200
48,20,2000
36,15,5000
42,21,3800
46,24,2500
72,49,2200
36,17,2100
48,27,2800
42,25,4000
45,15,1900
49,24,2000
31,3,900
36,11,4500
33,7,3500
35,12,2800
68,32,5100
63,41,5000
39,19,3400
40,20,1800
45,25,2900
32,12,2500
32,6,4000
45,7,1920
61,39,2100
34,7,3000
47,28,2600
44,25,5700
61,40,780
37,10,30000
33,7,7500
56,34,5000
43,15,6000
44,19,9000
32,10,3500
31,6,3200
31,8,2800
49,15,4800
45,10,4800
51,32,3400
50,18,2500
36,16,2100
26,4,1950
20,2,2000
35,15,3000
41,15,6000
43,20,3900
56,25,600
60,44,2400
51,31,2100
43,23,2300
43,15,2300
41,16,1920
25,2,3500
27,6,5700
66,50,3100
72,55,1650
41,14,2700
38,12,4000
59,31,1800
28,7,5000
52,33,4000
22,2,2000
43,21,2300
46,27,5000
57,38,3400
52,34,1900
47,26,2600
64,40,7000
56,35,2760
27,7,3300
37,12,2950
45,15,1200
31,8,2400
27,2,2200
38,14,4000
45,18,3000
39,16,1990
39,5,1700
37,10,2150
40,19,2700
41,18,3000
43,24,3500
36,11,1930
42,18,2200
38,9,1000
25,0,1970
27,6,2300
59,21,1880
39,8,3000
32,7,3500
58,31,1880
55,21,1880
58,40,1890
56,39,1870
57,37,4200
62,46,2100
62,40,1500
34,13,1850
43,25,1800
58,40,2000
56,36,1950
64,49,2400
58,31,3000
60,41,3000
57,31,3000
30,10,2600
41,16,2000
37,16,1850
61,36,2500
50,19,2000
44,20,2200
43,11,2300
31,6,2300
45,22,4500
38,17,4700
38,16,3000
34,4,2000
36,12,1800
32,9,2500
25,7,2000
51,31,4500
49,29,3900
57,30,5400
60,44,3000
35,15,4000
29,8,1920
59,25,1200
60,41,2000
59,40,900
30,4,3000
42,20,2500
39,21,3000
36,19,4000
35,17,2400
58,31,1952
43,19,2000
22,6,2250
59,37,2200
31,6,2000
67,36,2300
62,34,4500
25,7,2600
40,17,3660
41,22,2000
25,5,1950
52,31,3400
51,26,3400
50,29,1990
59,36,2200
55,33,3700
39,21,6000
37,19,2100
47,31,3300
61,41,1950
28,1,4000
25,1,3000
58,30,3000
69,45,1980
42,25,3000
35,10,4000
49,19,3000
30,3,1850
36,16,3000
32,10,1030
37,13,3000
51,20,2500
41,10,3300
50,24,3000
36,12,4500
33,5,4000
42,15,5000
43,12,2000
53,18,3300
25,4,1700
65,43,1800
48,27,4000
27,3,1900
46,28,2500
20,1,1600
55,39,3200
36,14,3500
51,23,2000
54,17,1860
54,26,4000
49,24,2100
52,15,340
57,37,2819
61,38,2000
48,25,2200
48,15,1400
40,12,3500
38,12,3200
45,18,3800
51,30,2000
23,3,2000
54,32,2700
49,23,2500
30,4,2300
27,4,2000
29,5,600
55,30,2250
65,22,650
23,0,4000
39,15,3000
27,5,3000
51,20,1700
51,30,3000
23,3,3200
31,10,3500
49,30,6000
48,29,3500
60,39,4000
27,5,4000
28,8,3000
45,18,7000
45,16,2450
59,39,1680
60,42,1680
35,14,4400
36,13,3200
46,24,3300
64,45,4500
53,31,5000
32,8,5000
49,28,3200
61,41,980
56,36,2000
38,15,2000
48,23,4600
47,21,2700
60,41,3500
54,33,1700
56,37,4000
61,40,2500
39,15,2500
58,31,2200
64,48,1800
61,25,1100
63,48,1800
32,13,1800
60,37,2500
53,31,4800
45,10,1600
49,30,3000
42,16,2100
22,3,3000
20,0,2500
34,13,3100
51,27,4300
66,43,6500
37,8,2500
61,38,2200
35,12,4800
32,5,2340
40,17,5000
37,11,3500
32,6,4000
33,6,3000
48,31,3500
30,3,4000
27,2,4400
62,39,3300
66,30,1500
50,25,3200
27,1,3500
32,7,2300
30,14,2300
43,15,3200
50,16,2200
38,16,3000
37,16,3200
43,23,2600
47,27,2350
43,21,2350
37,19,2650
35,7,2750
51,16,2700
29,8,3200
53,23,3150
47,17,1880
25,2,1920
59,39,3000
32,7,2300
64,33,1200
59,31,2300
50,20,2100
50,20,2500
50,33,2200
26,6,2000
50,21,2700
35,12,2700
40,22,2700
46,25,3200
46,31,3000
52,35,4500
24,2,1940
55,21,2200
37,8,2700
34,4,1700
51,31,2200
67,40,1900
43,23,4500
43,18,3000
62,35,18000
23,2,2300
28,4,3100
66,43,1000
34,14,6000
46,26,4500
26,7,4000
53,34,2890
40,20,2190
47,27,5200
45,18,3000
50,26,2200
43,17,2300
33,13,4000
35,13,3500
24,5,4600
23,2,2450
54,1,440
40,16,1680
71,50,2000
35,11,3000
37,0,1800
31,8,1200
55,31,2600
57,36,4300
63,41,2500
40,9,1900
56,20,1980
57,40,2500
38,7,3200
29,6,1700
29,8,2500
52,29,3000
50,27,3000
63,35,2300
34,7,1800
39,18,2700
40,16,4800
48,28,2800
30,4,3300
27,2,2000
36,10,2200
32,4,2000
65,46,5705
42,15,1300
37,18,2360
33,13,2200
35,3,3100
31,11,2300
48,27,3100
50,28,2700
30,4,2000
32,17,2900
47,27,2700
45,20,2100
23,3,1900
46,23,3500
42,17,2100
43,16,3500
35,7,4000
38,14,2500
39,14,10000
40,15,3600
58,39,3100
27,2,1800
39,14,2500
52,24,2500
41,5,2000
44,25,2700
36,10,2200
49,21,2800
45,8,1920
61,40,2100
47,11,2800
36,6,1000
40,16,1930
58,25,3500
58,32,2250
38,15,1970
60,37,4300
34,9,4500
34,6,2900
37,12,3570
41,21,2100
41,15,2500
65,44,3500
46,26,2200
34,5,1950
27,4,2050
34,7,2850
33,10,2200
58,39,2000
57,38,2000
51,30,2100
56,36,2000
57,38,2500
52,34,2400
31,11,2600
42,22,2600
37,17,2100
67,30,850
50,25,3200
65,45,1940
39,12,4500
47,25,3000
47,28,2800
46,21,2500
45,21,2400
40,16,2200
52,27,2600
48,16,2000
27,4,2900
42,17,3600
59,26,3200
50,14,1900
26,3,2500
59,38,2270
56,36,3650
62,43,1630
24,4,2200
64,43,2260
66,44,2340
55,36,3580
62,40,2920
40,21,2900
63,35,2700
57,37,2300
37,4,1100
58,35,3500
31,10,2400
54,25,2200
21,1,2800
29,6,3300
50,34,2800
41,22,2500
55,34,2200
44,24,2900
37,10,2500
29,12,3200
31,6,1800
31,8,3500
51,32,3400
50,18,2500
36,16,2100
54,38,2600
53,37,2400
58,32,2200
56,32,1900
60,40,2100
52,37,9500
53,34,2500
65,43,3200
46,23,4800
45,15,2200
60,38,3500
57,35,2600
33,12,7000
59,31,2680
59,35,2500
31,7,5000
63,44,3000
22,3,3000
75,51,1600
57,31,4000
27,7,2000
39,16,10000
37,11,3200
42,22,2400
29,5,2500
37,10,3500
44,25,2900
21,2,1800
30,12,2500
28,7,2300
40,21,4000
59,41,4000
57,39,3000
55,15,2000
56,25,1200
51,22,2100
47,28,3000
32,12,3600
31,11,4800
51,30,3000
49,22,2400
35,15,2250
43,19,2500
29,4,4000
59,41,1800
65,27,1600
32,12,3850
24,4,1400
38,15,6000
35,13,5000
35,13,4000
49,27,3300
55,25,6500
46,20,5000
30,5,2500
36,12,4000
36,11,4500
33,7,3500
66,44,800
28,4,1850
29,5,2800
53,26,1800
35,10,4200
44,22,3500
45,19,3000
27,2,2300
51,33,2350
45,6,2200
54,36,2300
53,34,2000
39,19,2000
44,16,2300
51,26,5000
60,41,2400
49,6,1700
58,21,2200
45,11,2200
37,14,2500
37,13,2720
49,15,2200
49,11,2000
45,25,3000
49,30,1950
24,4,3100
46,22,4000
47,24,2200
55,35,2900
33,9,4600
38,16,3200
55,40,3250
50,32,3000
47,25,2000
62,42,2500
42,18,3000
58,36,2800
50,24,2100
47,24,1500
50,33,3300
25,5,3800
57,31,4000
53,28,3500
40,8,2600
60,37,2000
36,11,5000
41,15,3700
45,19,4000
42,20,3400
40,5,2000
27,6,4000
61,40,2500
55,36,1638
19,2,0
19,2,0
54,29,2000
30,8,2600
35,12,4300
39,11,3700
64,36,1900
59,33,2000
52,34,3000
42,15,1260
41,15,10000
67,47,1100
44,25,4500
36,16,4500
56,20,1700
31,8,3560
48,25,3000
27,8,2000
60,17,550
35,14,3000
32,9,2500
38,10,2200
33,10,2150
38,22,1900
30,5,2300
60,33,2000
59,39,2200
25,1,3250
30,9,2700
31,11,3000
53,30,2500
50,30,2400
35,14,4000
33,7,4000
48,30,3000
44,16,2400
58,31,5000
50,32,2700
54,33,2600
34,14,2800
54,31,4600
20,2,750
57,33,4000
21,3,2800
51,27,3500
24,2,2700
42,21,2000
43,21,2100
49,29,5000
25,4,2500
20,0,900
46,23,2200
45,24,2300
43,23,2400
33,15,4100
37,15,3000
39,20,2700
38,13,3000
65,40,3000
54,24,3300
62,37,3900
50,30,15000
50,30,2700
50,30,1960
26,9,1950
24,5,2200
49,30,4000
50,27,2100
28,9,4500
27,9,6000
27,5,6000
65,40,600
26,4,4000
23,2,1600
49,28,3000
47,23,2100
56,22,2600
58,22,1800
57,25,1850
43,19,2700
43,19,2700
41,13,2500
64,45,3350
40,26,2600
43,23,4200
36,13,4200
36,14,3500
39,13,3700
39,14,2550
62,39,2500
40,21,2200
37,16,1923
40,15,2000
27,5,2000
57,36,3600
52,35,3400
29,7,2100
31,9,1929
62,28,2580
51,26,6000
34,7,4700
40,14,3000
39,12,2250
51,33,3000
49,21,2700
45,8,1920
73,42,1700
53,26,10000
20,1,2300
30,6,4200
41,20,4500
44,21,3000
47,25,2000
50,25,3000
28,10,2500
23,3,3500
53,30,3000
41,23,2200
63,40,1800
33,13,5500
25,6,3000
29,3,6000
41,13,3000
40,16,8000
33,6,4200
67,46,2200
43,21,2400
39,15,2800
52,25,5200
61,30,2000
62,39,4000
42,15,3000
39,17,2500
43,20,2200
44,19,10500
58,40,4000
55,40,2200
24,6,1100
58,35,2500
32,7,2500
54,34,4000
31,1,1634
42,11,3500
41,16,4000
29,5,2800
42,21,3700
43,25,2150
56,34,2300
38,11,5000
33,11,5700
29,10,3200
62,31,3500
46,21,2800
35,15,5000
36,15,2500
62,41,3600
43,16,3500
44,24,5200
36,10,1200
59,39,2000
28,3,2000
40,14,5000
34,4,2500
46,26,1900
46,27,6000
61,36,5000
22,4,3000
57,35,4000
54,25,2500
44,15,3200
52,24,4000
42,3,2000
35,10,3500
31,8,2200
34,10,3000
32,10,2700
27,6,2500
39,10,1800
61,35,4000
52,34,2200
22,0,1800
29,6,2000
40,22,3700
39,17,2500
36,11,2000
53,20,3300
31,7,2500
58,21,3000
50,23,3000
50,23,2900
41,25,2700
51,21,1920
62,43,3000
58,39,2000
52,34,1920
50,7,1920
66,45,2500
37,19,1800
43,20,3800
34,12,2400
40,14,4600
31,10,1780
52,30,3200
45,15,2300
41,12,1780
40,10,1780
50,8,1480
48,15,2200
44,14,2200
65,35,3600
50,30,2400
60,31,1870
37,17,1950
41,19,1950
49,17,3700
46,25,2350
39,15,8000
37,13,3000
25,5,3500
36,16,3000
35,11,2400
48,20,2400
47,28,1800
26,4,3000
37,15,2100
49,4,2000
47,25,2300
37,13,6000
37,6,1600
50,21,1000
30,6,1125
53,29,3600
57,42,2500
54,39,2000
52,27,2700
61,40,5200
35,7,3000
62,38,4200
27,4,2000
25,5,3250
72,45,5000
32,13,4000
41,15,8500
53,27,4500
37,11,10000
35,14,2600
36,9,2400
34,14,1600
57,35,2000
56,31,2100
38,15,2500
32,15,1600
29,12,1530
28,2,1633
40,19,2150
29,8,6000
47,26,2100
46,21,3000
53,34,5000
52,33,3500
28,6,1900
51,16,2800
31,8,7000
35,10,4000
41,15,2300
39,10,2000
46,26,3300
53,32,4000
35,15,2850
59,35,6000
38,13,3500
37,14,2500
74,50,2900
64,42,3500
62,36,2800
37,15,3100
52,32,1800
55,35,2850
39,11,2670
55,29,2158
61,41,4500
58,35,5000
67,47,2100
61,41,3250
63,44,3500
41,14,3010
57,37,2300
56,27,3000
63,35,5000
28,8,4243
38,11,2400
59,38,1950
41,15,5000
49,28,3480
57,38,2700
62,42,2300
60,39,2800
51,25,3000
30,10,4000
31,4,3200
28,6,3500
69,39,2150
26,2,1300
26,2,700
53,30,11000
54,30,10000
44,22,260
36,14,2500
54,29,5000
31,7,2500
37,18,3300
41,16,3000
33,14,3000
56,38,2600
24,4,2000
52,28,4500
60,35,3000
60,35,2800
53,32,2700
48,27,2500
52,32,2180
41,14,2900
56,25,3000
42,16,2400
20,0,1800
47,27,2600
40,17,3800
67,45,1500
64,22,1950
60,43,2500
34,4,3000
31,8,2500
59,38,2500
59,35,1900
32,11,2400
37,12,3000
33,9,2400
37,15,2500
35,7,2300
43,16,7400
66,40,2150
65,35,1500
33,4,1980
32,12,2300
32,15,8000
29,10,3600
35,11,5000
35,13,2100
54,30,6000
51,33,6000
36,15,5000
35,13,3000
52,33,3000
44,18,1930
36,14,3000
33,5,2100
37,13,6000
42,22,5000
54,35,1680
48,25,3000
45,20,2000
21,3,4000
46,25,3350
59,42,3000
48,13,4000
24,3,4000
21,2,2600
38,15,5100
63,43,3100
50,33,2000
25,6,3500
51,32,5500
25,2,3200
29,10,2000
33,6,6700
37,16,4500
38,18,3300
39,20,2600
61,30,1400
40,20,2800
40,20,1840
34,17,2290
34,8,2000
64,41,2800
36,21,5000
69,46,11000
56,32,2200
54,12,1800
37,10,2500
61,40,6000
58,36,3000
23,5,3100
48,26,2350
21,1,1000
22,2,1500
35,10,10000
33,7,3200
77,51,3000
63,30,5000
47,20,4200
47,21,3900
48,23,6500
47,22,5500
51,27,3500
45,22,3200
59,32,4400
42,17,2700
62,41,2000
29,6,2000
56,40,2800
27,6,2000
22,1,2000
53,20,3000
42,22,3700
57,32,2000
28,10,3500
61,35,1700
35,6,1400
42,8,2400
43,26,4700
39,12,3700
46,24,2000
44,24,1900
33,10,2300
34,12,1944
40,21,1700
27,7,1700
46,29,4800
44,14,2500
59,40,2550
49,13,1700
43,15,4000
30,7,7000
44,25,2800
29,11,3200
37,15,11000
22,2,2400
35,15,6000
74,40,600
52,30,7300
28,3,6400
63,39,2250
53,33,5000
36,18,2500
39,18,2000
36,11,3500
38,12,2000
34,10,7000
58,36,1996
56,34,1996
36,7,2000
51,33,2200
24,2,2100
52,20,5000
39,10,2100
25,0,2100
61,40,1800
49,34,3000
49,26,3700
36,15,2000
36,11,2300
56,37,1500
55,26,2000
32,12,1910
58,39,2350
57,36,1950
56,31,1950
42,7,2000
36,8,3000
38,13,3000
32,13,3000
29,6,2700
44,18,6500
30,5,1960
65,40,1200
40,3,2200
66,36,1500
36,12,4200
46,26,2800
44,21,2600
26,6,1960
48,26,3100
33,11,5000
51,34,4150
49,31,1870
42,18,2400
65,48,2875
43,9,1000
47,29,2000
50,22,2000
28,3,2000
31,8,2000
40,17,2500
69,46,2000
35,15,2400
44,21,2600
28,7,3800
49,35,2000
24,2,2200
28,3,2200
39,18,2500
36,11,2500
54,31,1700
47,10,1200
39,18,1700
36,11,2400
39,16,1500
47,21,3500
47,23,2500
35,12,3000
59,39,4000
40,20,1900
45,26,1900
24,1,2600
32,12,2500
34,15,3200
51,27,3400
66,43,6500
37,8,2500
61,38,2200
32,5,2350
40,17,5000
37,11,3500
32,6,4000
33,6,3000
48,31,3500
30,3,4000
27,2,4400
62,39,3300
30,14,2500
36,11,5000
35,9,3000
39,19,4500
36,20,3500
24,1,3000
51,25,860
54,35,4800
64,42,4000
30,8,2800
65,40,3500
31,6,4300
44,20,4500
59,44,3000
54,35,3200
48,18,3100
37,21,3000
36,13,2500
38,18,2500
62,34,2100
25,3,2000
64,17,1900
49,25,3000
50,24,3500
46,18,2700
61,30,2500
41,20,5500
42,17,3000
47,32,1100
55,35,2100
43,15,2250
31,8,2900
36,16,3900
49,6,1950
65,16,1000
35,0,1000
62,41,1920
42,26,2900
56,24,1000
60,41,2300
43,20,1920
50,20,2500
36,10,2500
41,18,2000
51,33,3900
39,19,2500
36,6,1630
53,10,2000
63,41,2700
39,9,3100
43,19,5000
42,18,3500
33,9,4700
33,8,2800
44,10,1900
25,2,2300
41,21,4000
48,20,2500
53,35,2600
37,12,3000
53,33,3450
18,2,251
17,1,250
64,42,3800
46,27,2200
43,22,2400
63,40,2800
46,14,3200
56,33,3000
34,12,4300
54,36,3500
48,20,2000
34,15,5000
35,15,5000
27,3,4500
57,30,3100
57,30,3100
63,41,2030
62,30,2400
58,25,2030
33,14,2500
73,48,2500
62,36,2030
34,6,1300
39,15,2200
25,6,2800
63,40,4000
45,17,3600
45,27,2000
33,10,7000
55,30,2300
50,25,2600
42,20,4000
61,39,2100
34,7,3000
56,35,1850
48,27,2000
44,22,1930
57,41,4500
26,6,1700
38,20,3400
40,24,2800
55,37,1960
21,3,3800
30,4,2500
30,4,2800
58,35,1980
34,10,4000
39,16,3000
66,39,4300
38,16,6000
50,20,4000
49,22,17000
54,30,8000
56,14,2020
41,20,5000
49,31,3500
61,46,2300
59,37,4500
68,8,1900
31,7,6000
40,15,5500
32,12,3500
38,15,10000
28,6,2550
39,17,2750
53,33,4200
53,31,1850
30,5,2978
49,30,4200
59,25,300
55,10,1800
53,5,1700
35,6,3200
36,12,3000
34,10,1900
56,15,1900
56,40,2600
57,35,3000
23,1,2000
45,24,3500
46,21,6000
36,16,4000
35,11,4600
56,41,3000
56,41,2000
46,21,5600
23,3,2150
34,11,1800
37,17,2500
25,7,2000
40,22,2500
35,13,7000
41,20,6000
41,20,2500
38,20,3000
36,18,1500
46,20,3030
38,13,2700
43,23,3000
43,20,3500
57,25,1520
46,25,3460
47,20,2100
28,8,2300
44,24,2100
36,17,5000
26,5,1000
38,14,10000
39,11,2200
42,18,4000
42,6,2000
44,21,3000
35,16,3200
30,8,3500
30,5,2000
52,24,4400
41,23,4300
21,4,3300
24,6,1500
47,29,2200
46,27,3500
40,21,3000
41,12,2100
44,18,2300
57,36,7335
47,25,1950
44,24,3600
45,25,3000
41,18,5000
43,25,3500
61,35,3500
62,40,2500
60,36,2500
58,29,1900
23,1,2340
48,20,3500
26,4,1800
20,1,2000
32,6,4000
35,15,3000
41,14,2500
41,13,6000
43,19,3900
56,24,700
60,43,2250
51,30,1680
32,16,2200
43,1,2800
44,24,4000
37,8,3200
35,10,1800
42,10,1800
55,38,2600
31,12,2000
25,5,1650
55,37,3700
33,8,2609
30,10,1800
50,22,3800
32,9,2000
60,42,1700
62,45,1800
54,25,1570
28,7,3000
27,9,3000
68,40,3600
36,12,4000
20,2,1600
48,24,4000
42,26,2000
43,26,2000
40,15,2600
54,33,2300
40,19,5000
35,13,3200
58,40,2000
27,2,3500
27,2,2200
64,39,3500
67,41,1400
44,16,9500
60,36,3600
59,36,2850
56,37,6400
56,35,4000
21,3,900
62,33,2500
57,20,1750
24,6,3000
54,30,2050
39,13,5000
46,25,2700
48,27,2000
29,8,3000
37,15,11000
37,15,6000
53,20,920
48,19,3000
30,7,2300
48,23,4000
47,21,2000
58,35,1800
35,15,3600
35,14,3500
63,41,2000
63,41,6000
55,26,3200
49,26,2400
25,1,2400
64,45,6000
34,12,6000
37,16,4000
77,36,600
56,27,1800
60,35,2000
71,51,1800
54,29,14000
39,15,2800
41,20,3500
51,28,3200
65,27,1600
48,30,2200
48,30,2000
40,18,4800
53,30,3400
31,8,4000
28,5,2500
38,16,2000
45,20,2500
42,18,3800
40,15,2500
38,12,2900
61,38,300
25,2,4300
24,2,3500
50,25,6000
51,25,2000
50,34,3000
47,21,1900
29,8,2000
49,21,2500
65,44,2200
42,21,4500
35,16,2200
48,28,4300
45,28,2900
46,20,3000
40,21,2500
23,3,2800
54,28,2500
46,26,2200
46,23,2700
45,21,3000
58,35,2200
59,40,1700
32,3,2600
55,33,6000
63,44,2000
34,14,2800
30,8,2100
43,21,4500
30,10,3000
30,9,2600
58,37,2800
51,25,2500
38,15,2300
55,37,2300
28,9,4500
64,32,3500
40,15,2000
31,8,6500
52,33,4000
63,40,2000
60,38,1000
47,28,3000
33,13,2300
35,13,1900
50,30,4500
23,4,2500
34,14,2300
27,2,3000
42,18,3000
20,0,1800
56,40,3000
52,33,2500
35,15,10000
37,7,2500
32,8,3100
30,7,3500
41,20,3500
37,13,2800
37,12,3000
41,22,2500
48,20,2000
44,8,2000
56,27,1900
53,37,3000
53,37,2400
54,31,1900
64,40,1900
36,13,3200
20,0,1800
48,25,3000
33,12,2500
52,33,2500
25,2,2000
31,7,6500
38,16,2300
35,13,4500
32,10,4500
39,15,3500
36,15,3500
57,37,5900
31,7,6500
39,14,4400
29,5,3000
48,32,3500
48,30,3200
69,40,1870
42,25,5890
46,27,4200
62,41,2600
44,14,4140
46,27,3100
44,21,3600
59,32,3300
45,22,4600
40,21,8000
29,7,3500
35,13,3000
58,13,1800
61,36,2000
30,14,1900
59,39,3000
59,38,4400
52,4,1400
50,25,1940
32,10,1950
45,21,2700
30,10,1600
47,23,2300
47,23,2500
54,38,2000
42,20,2700
31,6,1887
41,20,2000
30,9,3000
26,4,1800
44,11,2700
55,34,6500
54,34,3500
30,10,2850
24,5,2600
42,20,4300
42,25,800
26,5,2250
32,11,2250
30,6,2200
27,8,2540
60,38,2900
58,31,2500
49,20,1900
34,14,5000
46,26,3500
46,20,4000
25,4,3500
57,41,2500
27,4,2500
54,33,2000
48,21,2500
31,12,2200
50,34,3150
48,26,2600
29,9,2800
28,8,2200
30,8,1950
63,43,1900
65,44,1500
42,21,2500
34,7,1500
40,14,2500
57,39,2400
53,28,2000
62,46,2300
37,14,2000
38,10,2600
41,14,4200
32,11,1920
59,41,1000
44,20,5500
62,44,2200
29,4,2800
56,35,2500
42,18,2800
65,48,1500
47,30,2000
50,23,2000
28,4,2000
31,9,2000
40,18,2500
63,43,2500
53,31,2000
53,32,1920
23,1,2600
59,37,2200
63,40,1800
44,28,4000
52,32,3000
26,2,4500
50,31,5000
49,30,1600
21,1,2000
33,17,2100
37,21,2300
53,30,800
50,30,2500
25,4,3800
58,32,3550
60,35,2854
38,15,2600
37,17,2600
33,9,2500
32,8,2300
41,10,3493
64,42,3000
49,26,2100
52,32,1900
37,17,2000
50,29,1400
57,37,2300
35,13,3100
54,31,2600
30,8,2200
45,13,1900
38,12,2900
42,18,2550
40,3,900
39,16,3400
46,20,2000
51,31,4100
49,16,2200
44,28,5000
50,25,6000
42,6,2250
28,4,3500
43,20,3000
42,17,3000
37,17,1200
40,19,2700
48,20,2200
41,9,2200
45,28,4000
59,39,2100
43,16,3200
38,16,3000
37,18,3200
56,24,2700
44,19,8500
35,7,1500
62,38,4200
25,6,4000
32,13,4000
53,27,4000
37,11,10000
35,15,2600
36,9,2400
57,36,2000
39,20,1900
33,8,6450
34,8,3000
57,35,2500
56,36,4000
37,13,6000
50,21,1000
53,29,3600
39,18,5000
36,15,2500
36,15,2500
29,13,2000
29,4,1000
34,14,5500
31,6,2600
43,15,3200
46,25,3000
54,28,4900
44,20,4600
41,20,3800
27,5,4000
49,20,1800
51,31,2500
58,39,3200
60,39,3000
39,23,2600
38,15,2400
36,18,2000
34,10,2000
32,8,2000
53,32,1500
46,26,3600
25,1,1750
28,5,2300
29,5,1900
46,21,5700
33,16,2100
57,36,3250
51,20,2000
50,12,2000
44,20,2550
27,8,2250
22,5,2000
31,12,4000
29,7,2900
61,37,4000
44,25,9800
43,20,5000
48,25,4000
26,4,3000
38,4,3500
83,50,1000
78,49,2500
50,25,2900
40,15,13000
35,10,1920
66,30,3500
37,16,3000
40,15,2600
23,5,4000
53,38,3500
53,38,2100
53,9,5400
25,4,3900
31,6,4700
56,30,2000
33,10,9000
61,35,2300
24,4,4800
64,42,1100
46,7,1920
42,3,1920
43,27,3550
40,21,2400
29,9,1900
29,13,2500
31,6,2100
23,4,3000
51,30,1800
42,7,3300
64,43,3000
38,1,2000
46,12,2600
41,7,600
46,29,2000
45,29,2600
40,22,4000
27,6,1900
28,8,2500
56,36,3200
31,7,2200
55,32,3500
55,35,4500
55,32,3500
62,38,2100
44,20,5000
44,18,3200
34,13,3850
48,20,1878
30,12,3000
48,5,2600
24,4,2600
21,3,2900
26,6,2500
69,21,3500
66,30,3200
59,38,2300
49,30,3200
35,16,3000
61,42,3600
31,10,4200
40,15,3500
30,12,3600
29,7,2800
37,10,2700
39,16,6359
46,19,3000
44,19,5500
36,10,2100
30,11,5000
28,7,2500
55,12,1021
37,18,3000
53,31,3500
44,15,4000
43,17,4000
45,20,3500
59,25,3000
33,10,2800
27,11,2600
59,30,1300
32,5,600
56,30,2600
41,20,7000
48,24,10000
50,25,3200
53,30,2001
32,13,3000
30,11,1400
37,16,3700
39,13,3200
37,12,3600
34,11,3700
19,0,1400
60,36,2600
30,11,3300
29,4,2200
61,40,4800
58,25,2300
48,23,1850
40,19,2500
33,10,5000
78,56,2000
40,17,3000
43,23,2650
43,15,1850
25,5,3000
31,12,2500
29,7,4000
57,35,2000
48,19,3880
40,14,1790
54,32,4000
38,15,3000
33,10,2500
52,35,3500
45,24,9000
59,18,2100
48,21,1900
47,21,2000
44,21,2000
44,12,1900
36,19,2000
42,23,2800
46,18,3500
35,11,2200
36,9,1950
56,35,2200
54,33,2550
53,20,2000
62,32,1500
56,37,3000
50,25,3000
62,38,2800
59,30,2800
58,36,3000
55,15,2600
40,15,2600
42,20,2800
35,15,2600
36,16,2050
58,35,2500
55,24,2100
53,34,1300
42,13,1930
24,3,1930
39,13,3300
37,9,2500
39,13,2200
47,24,5500
21,1,1900
44,16,2700
39,18,3300
54,30,4000
56,35,1800
26,5,4000
47,30,5000
45,16,2500
49,30,2200
46,12,2300
49,29,4400
43,22,2000
43,14,2200
41,15,1650
55,29,1670
44,22,6000
58,22,1650
43,18,2700
43,18,2700
41,12,2250
64,44,2500
40,25,2600
43,23,4200
36,13,4200
36,13,2700
39,13,3700
39,13,3400
62,39,2500
40,20,2000
37,15,1923
24,3,1920
40,20,4300
43,23,4400
34,14,2750
33,8,3700
29,5,1929
33,11,2000
31,10,1436
63,20,1500
49,26,2500
38,16,2000
45,11,1700
40,11,1500
52,35,2000
36,9,3500
27,6,2160
61,46,2800
52,31,2800
57,24,1921
62,38,2500
29,0,2600
30,5,5000
31,6,2000
56,34,5000
50,25,2600
60,39,3000
62,41,2100
31,8,3000
36,6,2500
20,0,2500
33,7,2100
32,10,2500
57,36,2780
38,19,2800
36,13,2100
44,20,2500
39,17,5000
38,11,3000
33,3,3500
53,30,3600
56,29,5000
67,47,6100
62,36,2400
60,31,1700
38,13,2100
62,36,2200
